"","Signature","Gene"
"408","Wouters Melanocytic cell state","KLHL22"
"409","Wouters Melanocytic cell state","RP11-644F5.11"
"410","Wouters Melanocytic cell state","PHLPP1"
"411","Wouters Melanocytic cell state","NPHP4"
"412","Wouters Melanocytic cell state","SLC6A8"
"413","Wouters Melanocytic cell state","YBX1P2"
"414","Wouters Melanocytic cell state","C17orf76-AS1"
"415","Wouters Melanocytic cell state","ADIPOR2"
"416","Wouters Melanocytic cell state","MTOR"
"417","Wouters Melanocytic cell state","DPH2"
"418","Wouters Melanocytic cell state","AHCYL1"
"419","Wouters Melanocytic cell state","ATAD3A"
"420","Wouters Melanocytic cell state","NCAPH2"
"421","Wouters Melanocytic cell state","ZCCHC17"
"422","Wouters Melanocytic cell state","SLC11A2"
"423","Wouters Melanocytic cell state","TRAPPC6A"
"424","Wouters Melanocytic cell state","ULK3"
"425","Wouters Melanocytic cell state","TYSND1"
"426","Wouters Melanocytic cell state","MAP3K11"
"427","Wouters Melanocytic cell state","ZNF330"
"428","Wouters Melanocytic cell state","IGHMBP2"
"429","Wouters Melanocytic cell state","HIRA"
"430","Wouters Melanocytic cell state","MTHFR"
"431","Wouters Melanocytic cell state","NSUN5"
"432","Wouters Melanocytic cell state","HDDC2"
"433","Wouters Melanocytic cell state","HADHB"
"434","Wouters Melanocytic cell state","RAD54L2"
"435","Wouters Melanocytic cell state","AKR7A2"
"436","Wouters Melanocytic cell state","ADSL"
"437","Wouters Melanocytic cell state","HSPA9"
"438","Wouters Melanocytic cell state","ASB13"
"439","Wouters Melanocytic cell state","SMS"
"440","Wouters Melanocytic cell state","PRICKLE3"
"441","Wouters Melanocytic cell state","SARS"
"442","Wouters Melanocytic cell state","PARS2"
"443","Wouters Melanocytic cell state","RHBDD3"
"444","Wouters Melanocytic cell state","MDN1"
"445","Wouters Melanocytic cell state","FAM118A"
"446","Wouters Melanocytic cell state","HEATR5A"
"447","Wouters Melanocytic cell state","ESRRA"
"448","Wouters Melanocytic cell state","ORAI1"
"449","Wouters Melanocytic cell state","NPM3"
"450","Wouters Melanocytic cell state","NUDT8"
"451","Wouters Melanocytic cell state","AC141586.5"
"452","Wouters Melanocytic cell state","BNC2"
"453","Wouters Melanocytic cell state","ACOT7"
"454","Wouters Melanocytic cell state","NIN"
"455","Wouters Melanocytic cell state","LITAF"
"456","Wouters Melanocytic cell state","TMEM55A"
"457","Wouters Melanocytic cell state","PAAF1"
"458","Wouters Melanocytic cell state","HMG20B"
"459","Wouters Melanocytic cell state","LRP8"
"460","Wouters Melanocytic cell state","FRAT1"
"461","Wouters Melanocytic cell state","PIGH"
"462","Wouters Melanocytic cell state","RP11-295D4.1"
"463","Wouters Melanocytic cell state","RP5-821D11.7"
"464","Wouters Melanocytic cell state","CHCHD3"
"465","Wouters Melanocytic cell state","LACE1"
"466","Wouters Melanocytic cell state","TBRG4"
"467","Wouters Melanocytic cell state","OTX1"
"468","Wouters Melanocytic cell state","FAM45A"
"469","Wouters Melanocytic cell state","PARVB"
"470","Wouters Melanocytic cell state","NRL"
"471","Wouters Melanocytic cell state","GAS2L3"
"472","Wouters Melanocytic cell state","ABHD6"
"473","Wouters Melanocytic cell state","PRMT7"
"474","Wouters Melanocytic cell state","FIG4"
"475","Wouters Melanocytic cell state","TST"
"476","Wouters Melanocytic cell state","SNHG16"
"477","Wouters Melanocytic cell state","PQLC2"
"478","Wouters Melanocytic cell state","VPS18"
"479","Wouters Melanocytic cell state","DHX33"
"480","Wouters Melanocytic cell state","SHMT2"
